src,dst,w
238547,249694,1
83284,1524049,3
753417,1298386,2
1298386,1426775,1
965574,965888,5
249691,753417,6
249691,293139,1
508608,628196,2
628196,1779818,2
587077,628196,1
508608,1779818,2
508608,587077,1
587077,1779818,1
1095517,1731579,9
804113,1095517,9
1263370,1682935,1
311706,1263204,2
311706,1263370,1
185135,1337117,4
1337117,1495482,2
185135,1495482,3
1384751,1627361,2
1051212,1627361,4
361827,1453559,1
1005672,1298386,3
293139,1298386,2
1406385,1586237,2
468491,1429859,1
541174,1429859,1
468491,541174,1
1337117,1428261,4
1298386,1428261,4
875552,1190666,3
392813,875552,3
1292212,1524049,2
83284,1292212,2
346607,1005672,4
578471,1426360,8
578471,1428261,3
578471,753417,10
1426360,1428261,3
753417,1426360,13
753417,1428261,3
297355,1426360,2
297355,578471,1
297355,1428261,3
297355,753417,2
1586237,1655863,3
78043,1420831,5
175196,381481,3
175196,1420831,3
381481,1420831,2
420372,972885,1
886739,1318750,2
112590,1506957,2
177629,1053091,1
177629,1395960,1
1053091,1395960,3
1059999,1318750,1
1059999,1655863,4
420372,1406385,2
850397,1655863,3
175196,1406385,3
1420831,1776058,2
928125,1053091,3
201242,1406385,2
928125,1317454,4
928125,1586237,3
1317454,1586237,1
1053091,1317454,1
1053091,1420831,1
1053091,1424948,1
1420831,1424948,1
201242,1589883,3
381481,1406385,4
201242,928125,1
928125,1655863,1
201242,1586237,1
201242,1655863,1
134698,1250370,2
1250370,1406385,1
63039,151256,2
151256,1395960,4
63039,1395960,1
134698,175196,2
834001,1250370,5
541174,1586237,1
1053091,1589883,2
1395960,1589883,2
201242,1053091,2
201242,1395960,3
175196,1429859,2
175196,1250370,1
175196,834001,1
381481,1429859,1
834001,1429859,2
381481,1250370,1
381481,834001,3
1518078,1586237,1
381481,1586237,1
381481,1395960,1
175196,910067,1
361966,910067,1
112590,928125,3
928125,1406385,3
112590,1406385,4
1250370,1318750,1
834001,1318750,1
972885,1420831,4
541174,1655863,1
972885,1318750,3
541174,1406385,1
48004,1233688,6
1296410,1457222,4
307701,1457222,8
307701,843705,9
843705,1457222,8
1304669,1422224,9
806884,1325577,5
1378817,1779818,2
199478,1344660,3
132459,718934,3
517929,1239925,1
747266,1305167,1
569157,747266,1
569157,1305167,1
1181154,1212688,3
107706,1481921,2
137532,164543,3
87936,164543,2
1095517,1742562,5
145520,491360,4
1229143,1381080,2
1596973,1661876,4
1140977,1661876,3
1116722,1661876,8
372211,1661876,5
1140977,1596973,2
1116722,1596973,7
372211,1596973,4
1116722,1140977,7
372211,1140977,2
1350042,1468293,3
88982,615946,1
582769,1291926,1
394354,1264821,4
145520,1742562,3
491360,1742562,3
854562,1880187,2
854562,1436428,2
1336317,1880187,2
1336317,1436428,7
1553950,1596973,2
1553950,1661876,3
1326237,1553950,2
109445,1596973,2
109445,1661876,2
109445,1326237,2
1116722,1326237,2
1326237,1596973,2
1326237,1661876,2
372211,1326237,2
1344660,1731579,5
1291907,1344660,5
1291907,1811996,3
1344660,1811996,3
1140365,1140977,1
1590401,1733708,14
1226789,1291749,1
612623,1291749,1
612623,1226789,1
145520,804037,2
689718,804037,2
317027,1381442,1
448736,1384763,4
535196,1181010,2
535196,1644673,1
535196,1043977,1
1181010,1644673,11
1043977,1181010,1
1043977,1644673,1
793814,872550,5
793814,1838136,4
872550,1838136,14
201242,834001,1
150264,872550,7
872550,1446803,5
416123,1381278,3
112590,201242,4
886739,1420831,1
339211,361966,1
361966,1420831,1
339211,1420831,1
63039,350320,1
175196,803257,1
803257,1406385,1
1344162,1838136,6
1269754,1838136,7
150264,1344162,2
150264,1269754,3
1269754,1344162,6
48004,1654841,4
1319539,1590401,9
1319539,1733708,10
1422224,1590401,9
1422224,1733708,10
349133,737527,2
39263,1181010,14
39263,1297517,3
1181010,1297517,5
432036,546976,1
25502,269120,1
269120,1414269,1
307701,719828,3
719828,843705,3
1012147,1111773,1
1012147,1903340,1
1111773,1903340,8
1235183,1457222,8
806884,957757,1
147875,1282523,1
448736,1384751,5
448736,1379975,5
1379975,1384751,3
1051212,1446828,2
1304738,1504357,2
440377,1304738,1
703694,1304738,1
714668,1304738,1
146077,1304738,1
440377,1504357,1
703694,1504357,1
714668,1504357,1
146077,1504357,1
440377,703694,1
440377,714668,1
146077,440377,3
703694,714668,1
146077,703694,1
146077,714668,1
339211,1406385,1
361966,1250370,1
350320,361966,1
381481,910067,2
112590,381481,6
112590,834001,8
350320,834001,1
1226789,1381442,7
1051212,1226789,5
117914,1226789,6
1051212,1381442,5
117914,1381442,6
117914,1051212,19
1379421,1731579,4
179461,804113,3
179461,1507903,3
179461,1263370,3
1088602,1378817,3
1350042,1379421,2
1381278,1446803,3
24730,1381278,3
24730,1446803,3
1051212,1704940,6
117914,1704940,6
346607,1337117,1
